,State,District,Latitude,Longitude,District code,Population,Households_with_Internet,Housholds_with_Electric_Lighting,sex_ratio,literacy_rate
88,Bihar,Vaishali,25.8134703180212,85.39247597173153,220,3495021,4810,70001,89.47978758874187,55.12813799974307
89,Chandigarh,Chandigarh,30.7426,76.75872465753424,55,1055450,44283,231204,81.76636017793454,76.31228385996495
90,Chhattisgarh,Bastar,19.393866751269048,81.52895126903546,414,1413199,1782,157646,102.32287787746945,46.05600485140451
91,Chhattisgarh,Bilaspur,22.356942982456143,81.99770350877188,30,381956,1574,79146,98.14695690066611,75.3018672307805
92,Chhattisgarh,Bilaspur,22.356942982456143,81.99770350877188,406,2663629,8566,519704,97.07607574576012,59.939278330428145
93,Chhattisgarh,Dhamtari,20.554912627291245,81.7569195519348,412,799781,1016,148926,101.00201811021445,68.37284206551544
94,Chhattisgarh,Durg,21.194463849287164,81.33181639511197,409,3343872,16141,614109,98.79139243125115,68.88355774383709
95,Chhattisgarh,Jashpur,22.77286167664669,83.8703962075848,402,851669,567,76783,100.51206953786607,58.16989933882765
96,Chhattisgarh,Korba,22.491712499999995,82.57604326923074,404,1206640,4544,202380,96.86906014700244,62.05322217065571
97,Chhattisgarh,Koriya,23.50412776859501,82.12515636363635,400,658917,1667,80023,96.84618073293362,60.375282471085136
98,Chhattisgarh,Mahasamund,21.223727037773354,82.65925427435384,411,1032754,961,212487,101.72276728773535,61.772987565286606
99,Chhattisgarh,Raigarh,22.008265068493166,83.27797698630134,403,1493984,3342,297308,99.1240580158288,63.6980717330306
100,Chhattisgarh,Raigarh,22.008265068493166,83.27797698630134,520,2634200,38570,547206,95.94672498502989,73.64642016551515
101,Chhattisgarh,Raipur,20.88603153846152,82.20032759615388,410,4063872,20261,728556,98.41323004844287,64.71042887177549
102,Chhattisgarh,Surguja,23.32719278728607,83.23582493887531,401,2359886,2737,253131,97.78967739448123,50.33891467638691
103,Daman and Diu,Daman,20.431616666666677,72.8392366071429,495,191173,1316,49249,53.35675723373362,78.64499693994445
104,Daman and Diu,Junagadh,20.72568199498111,70.83985639899612,479,2743082,6628,498326,95.32668354747656,67.18056550988997
105,Goa,North Goa,15.548723418714054,73.80667997909038,585,818008,23440,173951,96.31705133712684,81.05788696443066
106,Goa,South Goa,15.195278658183785,73.941792596877,586,640537,17624,138810,98.63891361179422,78.43840402662141
107,Gujarat,Ahmadabad,22.605425564971743,72.23898135593227,474,7214225,126341,1456046,90.44688152297844,75.34780243200066
108,Gujarat,Amreli,21.04832649310872,71.43457637825426,480,1514190,2538,273331,96.38051537580621,65.74201388200952
109,Gujarat,Anand,22.282718206229863,72.57782051557454,482,2092745,9902,378310,92.485173248567,74.12527565470232
110,Gujarat,Banas Kantha,24.258538965517253,71.93205252873561,469,3120506,3424,396873,93.77463317641374,54.63610709288814
111,Gujarat,Bharuch,21.75787276237761,72.67326346710801,488,1551019,10257,309091,92.5040988845821,72.09943914291186
112,Gujarat,Bhavnagar,21.70219390341736,72.16272632761141,481,2880365,7297,500757,93.28701295999667,65.52138357465113
113,Gujarat,Gandhinagar,23.193679790026252,72.67221679790026,473,1391753,12107,262539,92.26719383751643,74.04287973512541
114,Gujarat,Jamnagar,22.410600414263328,69.62062005768233,477,2160119,11573,386538,93.87313856139696,64.65079007221361
115,Gujarat,Junagadh,20.929523011609785,70.54733890140345,479,2743082,6628,498326,95.32668354747656,67.18056550988997
116,Gujarat,Kachchh,23.48057203301311,68.82192301497916,468,2092371,9631,403294,90.78147267758816,59.851670664523645
